物品名称,文件类型,稀有度,等级,价格,物理攻击,魔法攻击,装备类型,武器类型,可用职业,技能增强,基础说明,文件路径
精 · 加持的残忍之弑巨剑 : [嗜魂封魔斩],equipment,5,70,0,61,0,weapon,,swordman,是,[嗜魂封魔斩]冷却时间 -18%% | [嗜魂封魔斩]MP消耗量 -18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro77.equ
精 · 加持的秘技之境巨剑 : [崩山裂地斩],equipment,5,70,0,61,0,weapon,,swordman,是,[崩山裂地斩]多段攻击次数 +2 | [崩山裂地斩]攻击力 -3%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro78.equ
精 · 加持的神之怒击巨剑 : [嗜魂封魔斩],equipment,5,70,0,61,0,weapon,,swordman,是,[嗜魂封魔斩]攻击力 +18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro79.equ
神之怒击巨剑 : [幻影剑舞],equipment,5,0,0,45,0,weapon,,swordman,是,[幻影剑舞]攻击力 +14%% | [钝器精通]下[幻影剑舞]的冲击波攻击力 +14%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro8.equ
精 · 加持的疾风之影巨剑 : [崩山裂地斩],equipment,5,70,0,61,0,weapon,,swordman,是,[崩山裂地斩]冷却时间 -9%% | [崩山裂地斩]MP消耗量 -9%% | [崩山裂地斩]攻击力 +9%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro80.equ
精 · 加持的残忍之弑巨剑 : [拔刀斩],equipment,5,70,0,61,0,weapon,,swordman,是,[拔刀斩]冷却时间 -18%% | [拔刀斩]MP消耗量 -18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro81.equ
精 · 加持的神之怒击巨剑 : [拔刀斩],equipment,5,70,0,61,0,weapon,,swordman,是,[拔刀斩]攻击力 +18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro82.equ
精 · 加持的残忍之弑巨剑 : [破军升龙击],equipment,5,70,0,61,0,weapon,,swordman,是,[破军升龙击]冷却时间 -18%% | [破军升龙击]MP消耗量 -18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro83.equ
精 · 加持的疾风之影巨剑 : [破军升龙击],equipment,5,70,0,61,0,weapon,,swordman,是,[破军升龙击]突袭距离 +18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro84.equ
精 · 加持的残忍之弑巨剑 : [猛龙断空斩],equipment,5,70,0,61,0,weapon,,swordman,是,[猛龙断空斩]冷却时间 -18%% | [猛龙断空斩]MP消耗量 -18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro85.equ
精 · 加持的神之怒击巨剑 : [猛龙断空斩],equipment,5,70,0,61,0,weapon,,swordman,是,[猛龙断空斩]攻击力 +18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro86.equ
精 · 加持的残忍之弑巨剑 : [幻影剑舞],equipment,5,70,0,61,0,weapon,,swordman,是,[幻影剑舞]冷却时间 -18%% | [幻影剑舞]MP消耗量 -18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro87.equ
精 · 加持的神之怒击巨剑 : [幻影剑舞],equipment,5,70,0,61,0,weapon,,swordman,是,[幻影剑舞]攻击力 +18%% | [钝器精通]下[幻影剑舞]的冲击波攻击力 +18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro88.equ
精 · 加持的残忍之弑巨剑 : [崩山击],equipment,5,70,0,61,0,weapon,,swordman,是,[崩山击]冷却时间 -18%% | [崩山击]MP消耗量 -18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro89.equ
残忍之弑巨剑 : [崩山击],equipment,5,0,0,45,0,weapon,,swordman,是,[崩山击]冷却时间 -14%% | [崩山击]MP消耗量 -14%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro9.equ
精 · 加持的疾风之影巨剑 : [崩山击],equipment,5,70,0,61,0,weapon,,swordman,是,[崩山击]跳跃距离 +18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro90.equ
精 · 加持的苍穹之啸巨剑 : [崩山击],equipment,5,70,0,61,0,weapon,,swordman,是,[崩山击]冲击波范围 +12%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro91.equ
精 · 加持的嗜血之殇巨剑 : [血之狂暴],equipment,5,70,0,61,0,weapon,,swordman,是,[血之狂暴]杀死出血状态的敌人时， 自身HP恢复值 +12%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro92.equ
精 · 加持的血之反噬巨剑 : [血之狂暴],equipment,5,70,0,61,0,weapon,,swordman,是,[血之狂暴]出血几率 +22%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro93.equ
精 · 加持的残忍之弑巨剑 : [崩山裂地斩],equipment,5,70,0,61,0,weapon,,swordman,是,[崩山裂地斩]冷却时间 -18%% | [崩山裂地斩]MP消耗量 -18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro94.equ
精 · 加持的疾风之影巨剑 : [崩山裂地斩],equipment,5,70,0,61,0,weapon,,swordman,是,[崩山裂地斩]冷却时间 -9%% | [崩山裂地斩]MP消耗量 -9%% | [崩山裂地斩]攻击力 +9%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro95.equ
精 · 加持的神之怒击巨剑 : [崩山裂地斩],equipment,5,70,0,61,0,weapon,,swordman,是,[崩山裂地斩]攻击力 +18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro96.equ
精 · 加持的神之怒击巨剑 : [崩山击],equipment,5,70,0,61,0,weapon,,swordman,是,[崩山击]攻击力 +18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro97.equ
精 · 加持的残忍之弑巨剑 : [怒气爆发],equipment,5,70,0,61,0,weapon,,swordman,是,[怒气爆发]冷却时间 -18%% | [怒气爆发]MP消耗量 -18%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro98.equ
精 · 加持的时光之袭巨剑 : [怒气爆发],equipment,5,70,0,61,0,weapon,,swordman,是,[怒气爆发]攻击次数 +2 | [怒气爆发]攻击力 -4%% | 攻击速度 +2%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_2choro99.equ
裂魂之异次元巨剑 - 剑魂,equipment,5,70,0,63,0,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_3choro1.equ
冽风之痕巨剑,equipment,5,70,0,68,0,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_3choro2.equ
七伤剑气巨剑,equipment,5,70,0,68,0,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_3choro3.equ
天之剑痕巨剑,equipment,5,70,0,68,0,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_3choro4.equ
裂魂之异次元巨剑 - 狂战士,equipment,5,70,0,63,0,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_3choro5.equ
厄运之忆巨剑,equipment,5,70,0,68,0,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_3choro6.equ
嗜血恶灵巨剑,equipment,5,70,0,68,0,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_3choro7.equ
暗之血迹巨剑,equipment,5,70,0,68,0,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_3choro8.equ
潜龙幻影巨剑,equipment,5,70,0,68,0,weapon,,swordman,否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_3choro9.equ
(古老) 阿甘左的浪人长剑,equipment,3,35,66600,27,0,weapon,,"swordman, creator mage",是,[毁灭之巨剑精通]技能Lv +2,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_aganzo.equ
(古老) 雕纹巨剑,equipment,1,38,45600,23,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_agitto.equ
魔剑 - 阿波菲斯,equipment,3,60,117000,44,0,weapon,,"swordman, creator mage",是,[魔剑控制]技能Lv +1 | [唤魔 : 塔莫斯之袭]技能Lv +2 | [人剑合一]技能Lv +1 | [恶即斩]技能Lv +2 |   | 物理、 魔法伤害 +10%% | [血之狂暴]攻击力 +10%% | [唤魔 : 狂暴]基本攻击力增加量 +10%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_apophis.equ
(古老) 蓝月龙吟剑,equipment,2,39,65600,27,0,weapon,,"swordman, creator mage",是,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_azuremoonlight.equ
步兵巨剑,equipment,1,10,12000,6,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_bastard.equ
青光震兽剑,equipment,2,45,75200,30,0,weapon,,"swordman, creator mage",是,[蛇腹剑 : 灭]技能Lv +1 |   | 攻击时， 有2%%的几率使自身增加25点力量和体力， 效果持续30秒。 | 攻击速度 +1%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_beastvillfiera.equ
(古老) 千年玄铁剑,equipment,2,19,33600,15,0,weapon,,"swordman, creator mage",是,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_blacksteel.equ
炙炎梵天剑,equipment,4,45,0,35,0,weapon,,"swordman, creator mage",否,攻击时， 有10%%的几率附加12000点伤害。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_blazeblade.equ
鲜血之痕巨剑,equipment,4,55,111600,42,0,weapon,,"swordman, creator mage",是,物理攻击力 +60 | 力量 +40,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_bloodstain.equ
(古老) 双刃巨剑,equipment,1,18,21600,11,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_clay.equ
凝血巨剑,equipment,2,65,120600,42,0,weapon,,"swordman, creator mage",是,[唤魔 : 塔莫斯之袭]技能Lv +2 | [蛇腹剑 : 缠]技能Lv +1 |   | 攻击速度 +0.5%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_clottedblood.equ
破旧的维尔特巨剑,equipment,4,55,108000,17,0,weapon,,swordman,否,攻击时， 有5%%的几率出现爆炸。 | 攻击时， 有5%%的几率击退敌人。 | 对建筑型护甲敌人的攻击力 +20%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_conqueror.equ
罪恶之枝,equipment,4,55,0,42,0,weapon,,"swordman, creator mage",是,[蛇腹剑 : 缠]技能Lv +5 |   | HP在50%%以上时， 可以使自身增加50点力量。 | [嗜魂之手]、 [暗魂之手]、 [蛇腹剑 : 缠]命中敌人时， 有20%%的几率使敌人进入出血状态。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_crime.equ
残杀者之剑,equipment,2,50,86400,38,0,weapon,,"swordman, creator mage",是,[群魔乱舞]技能Lv +1 | [穿云破空剑]技能Lv +1,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_crumassacre.equ
(古老) 卡赞的诅咒,equipment,3,30,57600,24,0,weapon,,"swordman, creator mage",否,攻击时， 有3%%的几率使敌人进入出血状态。 | 自身处于出血状态时， 增加50%%的攻击力。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_cursekazan.equ
含光斩岩剑,equipment,2,45,75200,30,0,weapon,,"swordman, creator mage",是,[跃空斩]技能Lv +1 |   | 攻击时， 有2%%的几率使敌人进入石化状态。 | 武器耐久度 +15,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_cuttingstone.equ
邪龙魔剑,equipment,4,55,111600,42,0,weapon,,"swordman, creator mage",否,使武器攻击力随角色Lv的增加而增加。 (每提升Lv1， 增加3点物攻),DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_dainslef.equ
深海之维尔特巨剑,equipment,2,65,120600,42,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_deepseaq.equ
艾鲁佛斯巨剑,equipment,2,60,111600,39,0,weapon,,"swordman, creator mage",是,[十字剑]技能Lv +1 | [跃空斩]技能Lv +1 | [血饮狂舞]技能Lv +1,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_efferus.equ
(古老) 精致的波刃长剑,equipment,1,23,27600,14,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_elafam.equ
子午七星剑,equipment,4,55,111600,42,0,weapon,,"swordman, creator mage",否,攻击时， 有5%%的几率使自身增加30%%的物理攻击力， 效果持续30秒。 | 攻击时， 有2%%的几率使敌人进入破武器、 破甲状态。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_extremeone.equ
信仰之力骑士长剑,equipment,2,43,70400,29,0,weapon,,"swordman, creator mage",是,攻击速度 +1%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_faith.equ
(古老) 波刃长剑,equipment,1,22,26400,14,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_flam.equ
(古老) 卡露亚的教导 - 照胆,equipment,3,40,75600,30,0,weapon,,"swordman, creator mage",是,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_goraboldness.equ
天选之剑 - 格朗,equipment,3,55,109800,41,0,weapon,,"swordman, creator mage",否,攻击速度 +3%% | 近距离武器攻击力 +20%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_gram.equ
地灵绝魂剑,equipment,4,45,90000,35,0,weapon,,"swordman, creator mage",否,攻击时， 增加等同于自身和金库重量之和80%%的伤害。 (金库中适用于上述属性的重量为， 每个栏位最高不超过6Kg),DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_gravity.equ
(古老) 精致的雕纹巨剑,equipment,1,39,46800,24,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_hagitto.equ
狱岩石巨剑,equipment,2,50,86400,38,0,weapon,,"swordman, creator mage",是,[极 · 驭剑术 (时空斩)]技能Lv +1 | [空绝斩 : 千刃]技能Lv +1 | [花开寒影]技能Lv +1 | [末日杀戮]技能Lv +1 | [沉寂之狱]技能Lv +1 |   | 攻击速度 +1%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_hellkarium.equ
高科技维尔特巨剑,equipment,2,60,111600,39,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_hightechq.equ
远古逆袭之战刃长剑,equipment,2,55,106200,44,0,weapon,,"swordman, creator mage",是,[毁灭之巨剑精通]技能Lv +1 | [唤魔 : 塔莫斯之袭]技能Lv +1 |   | 攻击时， 有3%%的几率使自身增加30点力量， 效果持续30秒。 | 攻击速度 +1%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_historybattle.equ
高科技维尔特巨剑,equipment,2,63,117000,41,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_illusionq.equ
(古老) 改良双刃巨剑,equipment,1,19,22800,12,0,weapon,,"swordman, creator mage",否,,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_impclay.equ
不屈之志雕纹巨剑,equipment,2,46,75200,30,0,weapon,,"swordman, creator mage",否,攻击速度 -1%%,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_indomitable.equ
古老的夺命毒龙剑,equipment,2,40,0,27,0,weapon,,"swordman, creator mage",是,被击时， 有2%%的几率使敌人进入中毒状态。 | 无法进行强化、 增幅、 分解和赠送。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_jumping.equ
库兰的焰影剑,equipment,3,15,32400,15,0,weapon,,"swordman, creator mage",是,[波动斩]技能Lv +1 |   | 攻击时， 有5%%的几率附加4000点火属性伤害。,DNF文件知识库\参考资料\标准格式样板\equipment\character\swordman\weapon\hsword\lswd_kuran.equ
